freq,s11,s21,s12,s22
1.688E9,-16.044,37.867,-53.143,-29.674
1.690E9,-16.077,37.863,-53.117,-29.662
1.692E9,-16.114,37.859,-53.091,-29.649
1.694E9,-16.155,37.855,-53.066,-29.634
1.696E9,-16.199,37.851,-53.041,-29.617
1.698E9,-16.219,37.848,-53.014,-29.615
1.700E9,-16.243,37.844,-52.988,-29.610
1.702E9,-16.271,37.841,-52.963,-29.604
1.704E9,-16.304,37.837,-52.937,-29.596
1.706E9,-16.342,37.833,-52.912,-29.585
1.708E9,-16.384,37.828,-52.887,-29.573
1.710E9,-16.402,37.825,-52.861,-29.574
1.712E9,-16.421,37.822,-52.836,-29.575
